WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
   1,1502,1185, 788948, 821940, 160337, 802953, 152742, 483404, 851476, 153586, 482872, 806751, 151898, 851476,      0, 799156, 153586, 836286,      0,City of Milwaukee Ward 1
   2, 524, 358, 683206, 902234,  78212, 875697,  79608, 476020, 913407,  89385, 476757, 893854,  69832, 913407,      0, 857541,  89385, 865921,      0,City of Milwaukee Ward 2
   3,1119, 879, 785522, 816837, 166097, 781569, 144482, 483118, 835039, 147895, 482690, 790671, 147895, 835039,      0, 772468, 141069, 832764,      0,City of Milwaukee Ward 3
   4,1907,1473, 772417, 853360, 127630, 825865, 121181, 480808, 874405, 123557, 480431, 840461, 118805, 874405,      0, 811269, 123557, 860149,      0,City of Milwaukee Ward 4
   5, 974, 777, 797741, 849420, 131274, 837193, 129343, 481324, 879021, 137709, 481463, 842985, 120978, 879021,      0, 831402, 137709, 855855,      0,City of Milwaukee Ward 5
   6,2157,1777, 823829, 792346, 196961, 768148, 184017, 485710, 841868, 187394, 484975, 775464, 180641, 841868,      0, 760832, 187394, 839054,      0,City of Milwaukee Ward 6
   7, 745, 562, 754362, 708185, 281138, 685942, 265124, 490494, 772241, 266903, 489375, 701067, 263345, 768683,      0, 670818, 266903, 772241,      0,City of Milwaukee Ward 7
   8,1765,1484, 840793, 774932, 206199, 749326, 214959, 487512, 836253, 219676, 486632, 754043, 210242, 811994,      0, 744609, 219676, 836253,      0,City of Milwaukee Ward 8
   9, 876, 752, 858447, 841755, 152925, 819148, 137632, 482163, 845744, 143617, 482269, 839095, 131648, 845744,      0, 799202, 143617, 837765,      0,City of Milwaukee Ward 9
  10,1447,1176, 812715, 748299, 241496, 716411, 223639, 488357, 799319, 225340, 487338, 719387, 225340, 789965,      0, 713435, 221938, 799319,      0,City of Milwaukee Ward 10
  11,1298,1030, 793528, 816504, 165048, 802426, 149028, 483164, 842718, 151456, 482836, 816504, 146601, 838834,      0, 788349, 151456, 842718,      0,City of Milwaukee Ward 11
  12,1126, 811, 720248, 822441, 165228, 799630, 155363, 483616, 870530, 166461, 483456, 813810, 144266, 870530,      0, 785450, 166461, 853267,      0,City of Milwaukee Ward 12
  13, 699, 517, 739628, 746615, 235976, 741779, 217601, 487736, 812379, 232108, 487472, 764023, 203094, 812379,      0, 719535, 232108, 791102,      0,City of Milwaukee Ward 13
  14,1341,1012, 754660, 918972,  70158, 895256,  68181, 474250, 926877,  83992, 475989, 925889,  52371, 926877,      0, 864624,  83992, 900197,      0,City of Milwaukee Ward 14
  15, 878, 768, 874715, 696614, 283854, 666666, 290364, 491688, 731770, 302083, 491152, 680989, 278645, 730468,      0, 652343, 302083, 731770,      0,City of Milwaukee Ward 15
  16,1768,1384, 782805, 875000, 111271, 842846, 110187, 479653, 879335, 123554, 480375, 856936,  96820, 879335,      0, 828757, 123554, 865606,      0,City of Milwaukee Ward 16
  17, 735, 615, 836734, 775609, 203252, 756097, 195934, 486496, 824390, 208130, 486235, 765853, 183739, 817886,      0, 746341, 208130, 824390,      0,City of Milwaukee Ward 17
  18,1079, 873, 809082, 846506, 143184, 816723, 149484, 483018, 870561, 160366, 483083, 838487, 138602, 870561,      0, 794959, 160366, 860252,      0,City of Milwaukee Ward 18
  19, 891, 660, 740740, 834848, 150000, 806060, 133333, 482006, 856060, 140909, 481957, 825757, 125757, 856060,      0, 786363, 140909, 828787,      0,City of Milwaukee Ward 19
  20,1122, 901, 803030, 887902, 103218, 856825, 102663, 478782, 896781, 117647, 479688, 886792,  87680, 896781,      0, 826859, 117647, 864594,      0,City of Milwaukee Ward 20
  21,1081, 809, 748381, 914709,  71693, 891223,  71074, 474711, 938195,  77873, 475111, 903584,  64276, 938195,      0, 878862,  77873, 908529,      0,City of Milwaukee Ward 21
  22, 991, 707, 713420, 865629, 114568, 842998, 118811, 480405, 889674, 118811, 479866, 852899, 118811, 889674,      0, 833097, 118811, 879773,      0,City of Milwaukee Ward 22
  23, 450, 303, 673333, 864686, 112211, 821782, 115511, 480378, 874587, 135313, 481338, 841584,  95709, 874587,      0, 801980, 135313, 858085,      0,City of Milwaukee Ward 23
  24, 609, 352, 577996, 886363,  93750, 848011,  76704, 475970, 883522,  90909, 477259, 883522,  62500, 883522,      0, 812500,  90909, 855113,      0,City of Milwaukee Ward 24
  25,1004, 695, 692231, 870503, 119424, 835970, 108632, 479593, 867625, 116546, 479925, 861870, 100719, 867625,      0, 810071, 116546, 833093,      0,City of Milwaukee Ward 25
  26, 886, 703, 793453, 863442, 113798, 834281, 100284, 478814, 894736, 118065, 479747, 860597,  82503, 894736,      0, 807965, 118065, 876244,      0,City of Milwaukee Ward 26
  27, 800, 625, 781250, 812800, 174400, 802400, 141600, 482653, 878400, 148800, 482245, 820800, 134400, 878400,      0, 784000, 148800, 832000,      0,City of Milwaukee Ward 27
  28, 353, 236, 668555, 868644, 114406, 830508, 114406, 480177, 881355, 131355, 480964, 847457,  97457, 881355,      0, 813559, 131355, 868644,      0,City of Milwaukee Ward 28
  29, 460, 338, 734782, 866863, 115384, 865384, 107987, 479188, 928994, 109467, 478615, 872781, 106508, 928994,      0, 857988, 109467, 911242,      0,City of Milwaukee Ward 29
